Sl. No.,Timestamp,Starting_weight,Current_weight,Weight_loss,Exercise,Exercise(Days/Week),Exercise Intensity,Duration of Exercise (minutes),Duration,Type of Exercise,,,
15,05-02-2023 22:19,69.4,65.9,14.68,6,3 Days,Other,30 to 45 mins,30,Calisthenics,,,
16,05-02-2023 21:57,84.5,79.1,6.91,5,4 Days,Moderate,45 to 60 mins,30,Heavyweight Training,,,
17,05-02-2023 21:56,71.2,67.9,16.53,5,4 Days,Light,45 to 60 mins,30,Calisthenics,,,
18,05-03-2023 00:26,87.1,80.8,7.11,6,4 Days,Light,30 to 45 mins,45,Heavyweight Training,,,
19,05-03-2023 16:00,68.7,64.9,9.74,6,6 Days,Moderate,More than 60 mins,30,Heavyweight Training,,,
20,05-02-2023 21:57,74.6,70.6,-2.9,6,5 Days,Moderate,45 to 60 mins,30,Heavyweight Training,,,
21,05-02-2023 21:53,88.4,82.1,-6.41,6,4 Days,Light,30 to 45 mins,45,Heavyweight Training,,,
22,05-02-2023 21:38,79.8,74.6,-6.44,6,5 Days,Moderate,Less than 15 mins,30,Heavyweight Training,,,
23,05-02-2023 21:38,83.7,78.4,8.97,5,5 Days,Light,More than 60 mins,30,Heavyweight Training,,,
24,05-02-2023 21:57,66.5,62.9,7.03,5,7 Days,Moderate,15 to 30 mins,30,Heavyweight Training,,,
25,05-02-2023 21:56,70.9,67.4,-1.79,6,5 Days,Vigorous,45 to 60 mins,30,Calisthenics,,,
26,05-03-2023 16:00,76.3,72.6,-9.92,5,7 Days,Moderate,Less than 15 mins,90,Cycling,,,
27,05-02-2023 21:53,81.7,76.9,13.55,6,4 Days,Moderate,30 to 45 mins,30,Calisthenics,,,
28,05-03-2023 09:49,82.7,89.3,-1.12,5,6 Days,Moderate,More than 60 mins,45,Calisthenics,,,
29,05-03-2023 09:49,71.4,75.4,14.38,5,5 Days,Vigorous,15 to 30 mins,30,Calisthenics,,,
30,05-03-2023 00:26,74.5,79.6,7.04,6,5 Days,Light,30 to 45 mins,30,Heavyweight Training,,,
31,05-03-2023 00:26,68.7,72.3,13.76,5,3 Days,Moderate,30 to 45 mins,45,Heavyweight Training,,,
32,05-02-2023 21:57,80.4,86.7,11.08,6,4 Days,Moderate,Less than 15 mins,30,Calisthenics,,,
33,05-03-2023 00:26,77.2,81.9,-11.95,6,5 Days,Light,Less than 15 mins,45,Heavyweight Training,,,
34,05-02-2023 22:19,67.6,63.3,11.87,5,5 Days,Light,30 to 45 mins,30,Calisthenics,,,
35,05-02-2023 21:38,92.1,85.3,2.66,6,5 Days,Moderate,More than 60 mins,30,Calisthenics,,,
36,05-03-2023 00:26,74.8,70.8,1.17,2,6 Days,Vigorous,30 to 45 mins,90,Swimming,,,
37,05-03-2023 09:49,80.6,75.3,2.87,5,7 Days,Light,15 to 30 mins,30,Heavyweight Training,,,
38,05-02-2023 22:19,76.7,72.9,15.3,6,5 Days,Moderate,Less than 15 mins,30,Heavyweight Training,,,
39,05-02-2023 21:48,78.3,73.9,-5.82,6,4 Days,Moderate,45 to 60 mins,30,Calisthenics,,,
40,05-03-2023 00:26,84.2,78.9,5.42,6,5 Days,Moderate,30 to 45 mins,30,Heavyweight Training,,,
41,05-02-2023 21:48,70.3,66.8,10.32,5,5 Days,Light,More than 60 mins,30,Calisthenics,,,
42,05-03-2023 16:00,88.6,82.2,15.49,6,5 Days,Vigorous,Less than 15 mins,30,Calisthenics,,,
43,05-03-2023 00:26,73.5,69.7,5.32,5,6 Days,Vigorous,Less than 15 mins,30,Calisthenics,,,
44,05-02-2023 21:38,90.9,84.2,0.74,5,5 Days,Moderate,More than 60 mins,30,Heavyweight Training,,,
45,05-02-2023 21:38,76.1,72.3,-0.54,6,5 Days,Light,45 to 60 mins,30,Heavyweight Training,,,
46,05-02-2023 22:19,81.5,76.7,-0.79,5,5 Days,Moderate,30 to 45 mins,45,Calisthenics,,,
47,05-03-2023 09:49,67.2,62.9,2.19,5,7 Days,Vigorous,15 to 30 mins,30,Heavyweight Training,,,
48,05-03-2023 09:49,85.7,79.8,-9.64,6,5 Days,Vigorous,Less than 15 mins,45,Heavyweight Training,,,
49,05-03-2023 00:26,69.8,65.9,7.57,6,6 Days,Moderate,45 to 60 mins,45,Heavyweight Training,,,
50,05-03-2023 16:00,77.6,73.3,-0.47,6,5 Days,Moderate,30 to 45 mins,30,Calisthenics,,,
51,05-02-2023 21:53,92.6,85.8,10.38,6,7 Days,Vigorous,Less than 15 mins,45,Calisthenics,,,
52,05-02-2023 22:19,74.3,70.3,11.11,5,5 Days,Moderate,Less than 15 mins,45,Heavyweight Training,,,
53,05-02-2023 21:57,79.7,74.6,-6.51,5,4 Days,Light,45 to 60 mins,30,Calisthenics,,,
54,05-03-2023 09:49,71.5,68,13.64,5,5 Days,Moderate,15 to 30 mins,30,Heavyweight Training,,,
55,05-03-2023 00:26,88.1,81.6,1.43,6,5 Days,Moderate,More than 60 mins,45,Heavyweight Training,,,
56,05-02-2023 22:19,75.2,71.3,5.82,6,6 Days,Moderate,15 to 30 mins,45,Heavyweight Training,,,
57,05-03-2023 16:00,81.4,76.4,4.47,5,5 Days,Vigorous,45 to 60 mins,60,Heavyweight Training,,,
58,05-03-2023 09:49,66.9,62.6,2.57,6,5 Days,Light,15 to 30 mins,30,Calisthenics,,,
59,05-02-2023 23:26,70.8,67.1,5.19,5,7 Days,Moderate,45 to 60 mins,30,Calisthenics,,,
60,05-02-2023 22:19,76.2,72.4,-1.4,5,5 Days,Moderate,15 to 30 mins,30,Calisthenics,,,
61,05-02-2023 21:53,81.6,76.8,1.73,5,6 Days,Light,Less than 15 mins,45,Heavyweight Training,,,
62,05-02-2023 23:26,89.2,82.5,-3.55,6,5 Days,Moderate,More than 60 mins,30,Heavyweight Training,,,
63,05-02-2023 22:19,75.3,71.3,-2.35,5,5 Days,Vigorous,30 to 45 mins,30,Heavyweight Training,,,
64,05-02-2023 21:57,79.5,74.2,-5.45,6,4 Days,Moderate,45 to 60 mins,45,Calisthenics,,,
65,05-03-2023 16:00,72.1,68.5,-1.23,5,5 Days,Moderate,Less than 15 mins,30,Heavyweight Training,,,
66,05-02-2023 21:38,86.5,80.1,2.71,5,5 Days,Moderate,15 to 30 mins,30,Calisthenics,,,
67,05-03-2023 00:26,81.8,77.1,4.05,5,6 Days,Light,Less than 15 mins,45,Calisthenics,,,
68,05-02-2023 22:19,67.4,63.1,4.36,6,5 Days,Vigorous,Less than 15 mins,45,Calisthenics,,,
69,05-02-2023 21:48,92.3,85.5,5.42,6,5 Days,Moderate,30 to 45 mins,30,Calisthenics,,,
70,05-03-2023 00:26,74.7,70.7,-1.66,5,5 Days,Light,Less than 15 mins,30,Calisthenics,,,
71,05-02-2023 23:26,80.9,75.6,4.86,5,5 Days,Light,30 to 45 mins,30,Calisthenics,,,
72,05-03-2023 16:00,76.6,72.8,7.07,6,5 Days,Moderate,15 to 30 mins,30,Heavyweight Training,,,
73,05-03-2023 00:26,78.2,73.7,-6.69,5,5 Days,Moderate,30 to 45 mins,30,Heavyweight Training,,,
74,05-02-2023 23:26,84.1,78.8,13.54,6,7 Days,Light,Less than 15 mins,30,Calisthenics,,,
75,05-02-2023 22:19,70.2,66.7,8.39,6,5 Days,Vigorous,Less than 15 mins,30,Calisthenics,,,
76,05-02-2023 21:38,88.3,81.9,-0.54,5,6 Days,Moderate,15 to 30 mins,30,Heavyweight Training,,,
77,05-02-2023 21:38,73.4,69.6,8.5,5,5 Days,Moderate,45 to 60 mins,30,Calisthenics,,,
78,05-02-2023 21:56,91.2,84.6,5.9,6,5 Days,Moderate,15 to 30 mins,30,Calisthenics,,,
79,05-03-2023 16:00,76,77.2,-2.21,5,5 Days,Vigorous,More than 60 mins,30,Heavyweight Training,,,
80,05-02-2023 21:57,81,76.2,-5.02,5,5 Days,Vigorous,More than 60 mins,60,Cycling,,,
81,05-02-2023 21:56,67.1,62.8,0.06,6,5 Days,Moderate,30 to 45 mins,30,Calisthenics,,,
82,05-02-2023 23:26,85.5,86.6,12.07,6,6 Days,Moderate,Less than 15 mins,45,Calisthenics,,,
83,05-03-2023 16:00,69.9,65.9,11.35,6,5 Days,Moderate,30 to 45 mins,30,Heavyweight Training,,,
84,05-03-2023 16:00,77.7,73.4,10.35,6,4 Days,Light,Less than 15 mins,45,Heavyweight Training,,,
85,05-02-2023 21:56,92.8,86,1.19,5,7 Days,Vigorous,15 to 30 mins,45,Heavyweight Training,,,
86,05-03-2023 16:00,74.4,70.4,12.89,5,5 Days,Moderate,45 to 60 mins,30,Calisthenics,,,
87,05-03-2023 16:00,79.9,74.7,-1.21,6,5 Days,Moderate,15 to 30 mins,30,Calisthenics,,,
88,05-03-2023 16:00,71.8,68.3,-2.75,6,4 Days,Vigorous,Less than 15 mins,30,Heavyweight Training,,,
89,05-02-2023 23:26,88.8,82.3,9.81,5,5 Days,Vigorous,More than 60 mins,30,Calisthenics,,,
90,05-03-2023 09:49,75,71,1.08,6,5 Days,Moderate,More than 60 mins,45,Calisthenics,,,
91,05-02-2023 22:19,81.2,76.3,-2.62,5,5 Days,Vigorous,45 to 60 mins,30,Calisthenics,,,
92,05-03-2023 00:26,66.7,62.5,8.64,5,5 Days,Moderate,Less than 15 mins,30,Calisthenics,,,
93,05-02-2023 22:19,70.7,67,-0.61,5,7 Days,Vigorous,45 to 60 mins,30,Calisthenics,,,
94,05-02-2023 21:48,76.5,72.7,-5.57,5,5 Days,Moderate,30 to 45 mins,30,Heavyweight Training,,,
95,05-03-2023 09:49,81.9,77.2,-2.38,5,5 Days,Vigorous,45 to 60 mins,45,Calisthenics,,,
96,05-02-2023 21:57,89.4,82.8,-1.27,5,5 Days,Moderate,More than 60 mins,30,Heavyweight Training,,,
97,05-02-2023 22:19,75.5,71.5,10.6,5,6 Days,Moderate,More than 60 mins,30,Calisthenics,,,
98,05-02-2023 21:56,79.7,83.4,7.4,6,5 Days,Light,More than 60 mins,45,Heavyweight Training,,,
99,05-03-2023 16:00,72.4,68.8,0.39,6,7 Days,Moderate,30 to 45 mins,45,Calisthenics,,,
100,05-02-2023 22:19,86.8,80.5,1.76,6,5 Days,Moderate,More than 60 mins,30,Heavyweight Training,,,
